[2024-01-02T19:46:36.782+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.788+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.793+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.798+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.804+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.810+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.816+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.822+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.828+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.834+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.839+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.845+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.851+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.857+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.863+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.868+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.874+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.879+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.884+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.889+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.895+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.901+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.907+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.913+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.919+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.924+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.930+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
